Aspalt(for bike) Accelerrated vel,,,,,
TIME,delta,Vel(km/h),Acc x (m/s^2),Acc y (m/s^2),Acc z (m/s^2)
114914,558,0,2,5.49,9.57
114918,558,0,2,5.69,8.98
114921,558,0,2.04,5.26,10.08
114925,558,0,2,5.41,9.41
114929,558,0,2.08,5.33,9.61
114933,558,0,2.08,5.41,9.22
114936,558,0,2.24,5.41,9.61
114940,558,0,1.96,5.41,9.53
114945,558,0,2.12,5.41,9.53
114949,558,0,2,5.37,9.81
114952,558,0,1.96,5.33,9.89
114956,558,0,2.2,5.22,9.57
114960,558,0,2.04,5.57,9.53
114964,558,0,2.04,5.61,9.73
114967,558,0,1.96,5.65,9.61
114971,558,0,1.88,5.57,9.96
114975,558,0,1.8,5.61,9.73
114979,558,0,1.84,5.41,9.49
114982,558,0,1.84,5.53,9.89
114987,558,0,1.69,5.57,9.38
114991,558,0,1.69,5.65,9.38
114995,558,0,1.53,5.65,9.61
114998,558,0,1.61,5.73,9.38
115002,558,0,1.77,5.69,9.61
115006,558,0,1.57,5.61,9.81
115010,558,0,1.41,5.65,9.77
115013,558,0,1.49,5.73,9.45
115017,558,0,1.53,5.77,9.18
115021,558,0,1.57,5.65,9.3
115025,558,0,1.69,5.61,9.26
115028,558,0,1.69,5.61,9.18
115033,558,0,1.57,5.73,9.38
115037,558,0,1.53,5.65,9.45
115041,558,0,1.61,5.81,9.49
115044,558,0,1.73,5.65,9.49
115048,558,0,1.73,5.69,9.65
115052,558,0,1.8,5.88,9.41
115056,558,0,1.8,5.65,9.3
115059,558,0,1.8,5.73,9.14
115063,558,0,1.92,5.77,9.3
115067,558,0,1.92,5.69,9.26
115072,558,0,1.84,5.65,9.34
115075,558,0,1.65,5.73,9.38
115079,558,0,1.73,5.65,9.34
115083,558,0,1.88,5.45,9.41
115087,558,0,1.57,5.57,9.81
115090,558,0,1.29,5.69,9.53
115094,558,0,1.65,5.65,9.53
115098,558,0,1.57,5.69,9.45
115102,558,0,1.41,5.65,9.65
115105,558,0,1.26,5.65,9.69
115109,558,0,1.18,5.61,9.61
115113,558,0,1.14,5.53,9.77
115118,558,0,1.1,5.57,9.41
115122,558,0,1.02,5.65,9.53
115125,558,0,0.94,5.69,9.3
115129,558,0,1.02,5.61,9.57
115133,558,0,0.9,5.81,9.57
115136,558,0,1.14,5.77,9.65
115140,558,0,1.06,5.84,9.38
115144,558,0,0.86,5.65,9.26
115148,558,0,1.22,5.73,9.38
115152,558,0,1.37,5.88,8.87
115155,558,0,1.61,5.73,9.02
115160,558,0,1.61,5.84,8.94
115164,558,0,1.61,5.84,9.06
115168,558,0,1.84,5.88,9.14
115171,558,0,2.04,5.88,9.1
115175,558,0,2.31,6,9.3
115179,558,0,2.04,5.69,9.02
115182,558,0,2.43,6.32,9.34
115186,558,0,2.39,6.12,9.3
115190,558,0,2.59,6.08,9.38
115194,558,0,2.51,6.16,9.49
115198,558,0,2.47,6.08,9.41
115202,558,0,2.51,6.04,9.14
115206,558,0,2.59,6,9.61
115210,558,0,2.55,6.24,9.34
115213,558,0,2.51,6.12,9.57
115217,558,0,2.51,6.08,9.53
115221,558,0,2.51,6.04,9.22
115225,558,0,2.39,5.92,9.65
115229,558,0,2.51,5.96,9.45
115232,558,0,2.79,5.81,9.41
115236,558,0,2.75,5.77,9.45
115240,558,0,2.79,5.57,9.57
115245,558,0,2.82,5.53,9.22
115248,558,0,2.71,5.49,9.45
115252,558,0,2.75,5.65,9.3
115256,558,0,2.75,5.45,9.57
115260,558,0,2.63,5.53,9.49
115263,558,0,2.55,5.49,9.61
115267,558,0,2.39,5.33,9.85
115271,558,0,2.12,5.45,9.81
115275,558,0,2.08,5.53,9.85
115278,558,0,1.96,5.37,9.81
115282,558,0,1.92,5.57,9.57
115287,558,0,1.88,5.69,9.38
115291,558,0,1.84,5.69,9.34
115294,558,0,1.77,5.37,9.41
115298,558,0,1.92,5.33,9.65
115302,558,0,2,5.57,9.41
115306,558,0,2.2,5.61,9.38
115309,558,0,2.16,5.53,9.61
115313,558,0,2.24,5.53,9.38
115317,558,0,2.2,5.49,9.38
115321,558,0,2.2,5.61,9.18
115324,558,0,2.08,5.92,9.1
115329,558,0,2,5.81,9.18
115333,558,0,1.92,5.84,9.26
115337,558,0,1.88,5.96,9.41
115340,558,0,2.04,5.96,9.1
115344,558,0,2.12,5.88,9.22
115348,558,0,2.31,6.2,9.3
115352,558,0,2.31,5.92,9.53
115355,558,0,2.51,6.08,9.49
115359,558,0,2.71,6.16,9.57
115363,558,0,2.75,6.04,9.49
115367,558,0,2.9,6.12,9.96
115371,558,0,2.98,6.08,9.26
115375,558,0,2.9,5.96,9.3
115379,558,0,2.86,6.12,9.34
115383,558,0,2.75,6.04,9.49
115386,558,0,2.75,6.12,8.98
115390,558,0,2.75,6.08,8.87
115394,558,0,2.63,6.08,8.83
115398,558,0,2.59,5.88,8.87
115401,558,0,2.43,5.96,9.14
115405,558,0,2.43,5.73,9.1
115409,558,0,2.28,5.73,8.98
115414,558,0,2.2,5.73,9.22
115417,558,0,2.24,5.77,9.14
115421,558,0,2.28,5.84,9.18
115425,558,0,2.24,5.73,9.22
115429,558,0,2.31,5.81,9.02
115432,558,0,2.35,5.69,9.38
115436,558,0,2.43,5.61,9.49
115440,558,0,2.31,5.61,9.45
115444,558,0,2.28,5.41,9.65
115447,558,0,2.39,5.53,9.45
115451,558,0,2.31,5.3,9.65
115456,558,0,2.51,5.61,9.45
115460,558,0,2.47,5.53,9.57
115463,558,0,2.39,5.57,9.61
115467,558,0,2.39,5.33,9.34
115471,558,0,2.39,5.49,9.41
115475,558,0,2.16,5.57,9.61
115478,558,0,2.24,5.61,9.45
115482,558,0,2.28,5.81,9.14
115486,558,0,2.39,5.81,9.41
115490,558,0,2.35,5.81,9.49
115493,558,0,2.24,5.69,9.57
115497,558,0,2.31,5.57,9.45
115502,558,0,2.51,5.61,9.22
115506,558,0,2.35,5.73,9.14
115509,558,0,2.43,5.69,9.34
115513,558,0,2.47,5.69,9.45
115517,558,0,2.47,5.92,9.34
115521,558,0,2.51,5.96,9.1
115524,558,0,2.47,6.08,9.26
115528,558,0,2.31,5.84,9.38
115532,558,0,2.2,5.69,9.61
115536,558,0,1.92,5.65,9.45
115539,6221,0.29,1.88,5.57,9.34
115544,6221,0.29,1.49,5.69,9.34
115548,6221,0.29,1.57,5.77,9.26
115552,6221,0.29,1.61,5.81,9.41
115556,6221,0.29,1.45,5.84,9.57
115560,6221,0.29,1.61,5.61,9.34
115563,6221,0.29,1.49,5.73,9.73
115567,6221,0.29,1.33,5.53,9.85
115571,6221,0.29,1.33,5.81,10
115575,6221,0.29,1.37,6.12,9.34
115579,6221,0.29,1.57,6.28,9.26
115584,6221,0.29,1.53,5.92,9.49
115587,6221,0.29,1.57,5.88,9.34
115591,6221,0.29,1.57,5.45,9.45
115595,6221,0.29,1.69,5.37,9.49
115599,6221,0.29,1.8,5.33,9.45
115603,6221,0.29,2,5.77,9.22
115606,6221,0.29,1.92,5.65,9.18
115610,6221,0.29,2.16,5.77,9.45
115614,6221,0.29,2.08,5.73,9.45
115618,6221,0.29,2.39,5.77,9.73
115622,6221,0.29,2.35,5.69,10
115627,6221,0.29,2.51,5.69,10.04
115630,6221,0.29,2.47,5.96,9.69
115634,6221,0.29,2.24,6.08,9.73
115638,6221,0.29,2.12,6.2,9.38
115642,6221,0.29,2.35,6.12,8.87
115646,6221,0.29,2.51,6.16,8.9
115650,6221,0.29,2.43,6.08,8.87
115653,6221,0.29,2.28,6.47,8.51
115657,6221,0.29,2.16,5.96,8.55
115661,6221,0.29,1.92,5.84,8.75
115665,6221,0.29,1.8,5.53,8.59
115670,6221,0.29,1.84,5.45,8.9
115673,6221,0.29,1.77,5.33,9.34
115677,6221,0.29,1.69,5.45,9.49
115681,6221,0.29,1.53,5.73,9.3
115685,6221,0.29,1.65,6.16,9.61
115689,6221,0.29,1.65,6.08,9.57
115692,6221,0.29,1.88,6.39,9.85
115696,6221,0.29,2.04,6.32,10.12
115700,6221,0.29,2.16,6.43,10.24
115704,6221,0.29,2.16,6.43,10.08
115708,6221,0.29,2.16,6.2,9.69
115713,6221,0.29,2.28,5.92,9.22
115717,6221,0.29,2.12,5.96,8.67
115720,6221,0.29,2.16,5.77,8.79
115724,6221,0.29,2.12,5.77,8.75
115728,6221,0.29,2.04,5.81,8.63
115732,6221,0.29,1.84,6,8.67
115736,6221,0.29,1.8,6.75,8.83
115739,6221,0.29,1.69,6.63,8.67
115743,6221,0.29,1.65,6.55,9.02
115747,6221,0.29,1.57,6.28,9.3
115751,6221,0.29,1.49,5.92,9.73
115756,6221,0.29,1.57,5.49,9.53
115759,6221,0.29,1.33,5.57,9.69
115763,6221,0.29,1.37,5.65,9.77
115767,6221,0.29,1.53,5.61,9.38
115771,6221,0.29,1.65,5.73,9.3
115775,6221,0.29,1.65,5.73,8.98
115779,6221,0.29,1.61,5.84,9.38
115782,6221,0.29,1.37,5.88,9.61
115786,6221,0.29,1.22,6.2,9.73
115790,6221,0.29,1.37,6.24,9.96
115794,6221,0.29,1.22,6.08,9.69
115799,6221,0.29,1.33,6.16,9.34
115802,6221,0.29,1.49,6.12,8.9
115806,6221,0.29,1.49,5.88,8.9
115810,6221,0.29,1.65,6.2,8.55
115814,6221,0.29,1.65,5.77,8.87
115818,6221,0.29,1.57,5.88,8.98
115821,6221,0.29,1.73,5.84,9.38
115825,6221,0.29,1.8,5.69,9.34
115829,6221,0.29,2.04,5.65,9.45
115833,6221,0.29,2.12,5.84,8.71
115837,6221,0.29,1.84,6.04,8.94
115841,6221,0.29,1.92,5.57,9.45
115845,6221,0.29,2.04,5.53,9.61
115849,6221,0.29,1.96,5.92,9.3
115853,6221,0.29,2.08,6.2,9.92
115857,6221,0.29,1.88,6.32,10.04
115861,6221,0.29,1.88,6.28,10.08
115864,6221,0.29,1.73,6.2,9.92
115868,6221,0.29,1.8,6.12,9.45
115872,6221,0.29,1.69,5.81,9.65
115876,6221,0.29,1.69,5.53,9.22
115880,6221,0.29,1.61,5.57,9.22
115885,6221,0.29,1.69,5.84,8.55
115888,6221,0.29,1.77,5.65,8.79
115892,6221,0.29,1.73,5.73,8.83
115896,6221,0.29,1.84,5.49,9.14
115900,6221,0.29,1.84,5.57,9.49
115904,6221,0.29,1.73,5.53,9.26
115907,6221,0.29,1.53,5.57,9.38
115911,6221,0.29,1.57,5.88,9.26
115915,6221,0.29,1.37,6.2,9.45
115919,6221,0.29,1.45,5.81,9.96
115923,6221,0.29,1.37,5.49,9.81
115927,6221,0.29,1.41,5.84,10.2
115931,6221,0.29,1.37,5.49,10.12
115935,6221,0.29,1.26,5.81,9.77
115939,6221,0.29,1.1,6.2,9.45
115943,6221,0.29,1.1,6.28,8.94
115947,6221,0.29,1.02,6.04,8.98
115950,6221,0.29,0.94,6.2,8.98
115954,6221,0.29,1.14,6.28,8.75
115958,6221,0.29,1.26,6.24,8.71
115962,6221,0.29,1.22,6.47,8.24
115966,6221,0.29,1.1,6.08,8.32
115971,6221,0.29,0.98,5.45,8.51
115974,6221,0.29,0.78,5.45,8.83
115978,6221,0.29,0.82,5.26,9.22
115982,6221,0.29,0.71,5.53,8.59
115986,6221,0.29,0.63,6.59,9.34
115990,6221,0.29,0.55,6.94,9.26
115993,6221,0.29,0.55,6.79,10.24
115997,6221,0.29,0.39,6.71,9.96
116001,6221,0.29,0.31,6.08,10.28
116005,6221,0.29,0.51,5.69,10.04
116009,6221,0.29,0.43,5.61,9.73
116014,6221,0.29,0.35,5.88,9.22
116017,6221,0.29,0.31,5.84,8.75
116021,6221,0.29,0.2,5.61,8.47
116025,6221,0.29,0.35,5.77,8.55
116029,6221,0.29,0.35,5.77,8.63
116033,6221,0.29,0.43,6.2,8.47
116036,6221,0.29,0.47,5.84,9.53
116040,6221,0.29,0.31,5.53,10.43
116044,6221,0.29,0.51,5.1,10.94
116048,6221,0.29,0.63,4.98,10.9
116052,6221,0.29,0.82,4.75,11.06
116057,6221,0.29,1.1,4.67,10.36
116061,6221,0.29,1.33,6.08,9.69
116064,6221,0.29,1.45,6.59,9.1
116068,6221,0.29,1.65,6.71,8.9
116072,6221,0.29,1.77,5.1,9.81
116076,6221,0.29,1.61,4.47,9.77
116080,6221,0.29,1.53,4.35,9.81
116083,6221,0.29,1.41,4.28,10.12
116087,6221,0.29,1.45,4.16,10.51
116091,6221,0.29,1.8,4.43,10.04
116096,6221,0.29,2.28,4.75,9.77
116100,6221,0.29,2.39,4.86,9.53
116104,6221,0.29,2.35,5.1,9.41
116107,6221,0.29,2.24,5.73,9.89
116111,6221,0.29,2.39,5.77,10.16
116115,6221,0.29,2.43,5.69,10
116119,6221,0.29,2.43,6.04,9.49
116123,6221,0.29,2.12,6.79,8.79
116127,6221,0.29,1.96,6.86,8.32
116130,6221,0.29,1.69,7.18,8.83
116134,6221,0.29,1.61,6.83,8.75
116139,6221,0.29,1.29,5.84,9.18
116143,6221,0.29,1.18,5.81,9.3
116147,6221,0.29,1.22,5.77,9.3
116151,6221,0.29,1.96,6.32,9.22
116154,6221,0.29,0.86,7.3,8.79
116158,6221,0.29,1.14,6.55,8.75
116162,6221,0.29,1.06,7.02,8.67
116166,6221,0.29,0.86,6.71,9.14
116170,6221,0.29,0.94,6.35,8.9
116173,6221,0.29,0.86,6.12,9.3
116177,6221,0.29,1.14,6.71,9.06
116182,6221,0.29,0.86,7.53,8.9
116186,6221,0.29,0.98,7.65,8.55
116190,6221,0.29,1.02,6.28,9.18
116193,6221,0.29,0.86,6,9.89
116197,6221,0.29,0.9,7.1,8.75
116201,6221,0.29,1.18,6.08,8.75
116205,6221,0.29,1.22,6,9.49
116209,6221,0.29,1.22,5.14,10.2
116212,6221,0.29,1.26,5.41,9.77
116216,6221,0.29,1.53,5.06,9.65
116220,6221,0.29,1.41,5.57,8.98
116225,6221,0.29,1.61,5.69,8.87
116229,6221,0.29,1.29,6.04,8.98
116233,6221,0.29,1.45,6,9.22
116236,6221,0.29,1.37,6.08,9.34
116240,6221,0.29,1.49,5.73,9.69
116244,6221,0.29,1.45,5.22,10.12
116248,709,2.54,1.1,4.79,10.24
116252,709,2.54,0.98,4.79,9.89
116255,709,2.54,1.26,5.06,9.38
116259,709,2.54,1.57,5.92,8.87
116263,709,2.54,1.73,6.12,8.47
116268,709,2.54,1.57,6.24,8.83
116272,709,2.54,1.41,5.41,9.57
116275,709,2.54,1.26,5.26,9.85
116279,709,2.54,0.98,4.98,9.73
116283,709,2.54,1.06,5.26,9.18
116287,709,2.54,1.06,5.61,8.71
116290,709,2.54,1.22,6.67,8.71
116294,709,2.54,1.22,6.59,8.71
116298,709,2.54,1.06,6.28,9.41
116302,709,2.54,1.06,5.1,10.08
116306,709,2.54,0.98,4.94,10.83
116310,709,2.54,1.1,5.18,9.81
116314,709,2.54,1.33,6.35,9.22
116318,709,2.54,1.8,6.12,8.04
116322,709,2.54,2.04,6.24,8.47
116325,709,2.54,2.16,6.04,8.98
116329,709,2.54,2.04,6.08,9.61
116333,709,2.54,2.08,6.32,9.06
116337,709,2.54,2.08,7.49,8.87
116341,709,2.54,1.88,6.39,9.06
116344,709,2.54,1.49,6.63,9.22
116348,709,2.54,1.18,6.39,9.92
116353,709,2.54,0.86,6.12,9.69
116357,709,2.54,1.02,5.84,9.18
116360,709,2.54,0.31,5.96,9.96
116364,709,2.54,0.43,6.24,8.36
116368,709,2.54,0.27,6.2,8.47
116372,709,2.54,0.24,5.92,8.83
116376,709,2.54,0.08,5.77,9.41
116379,709,2.54,0.08,5.96,9.34
116383,709,2.54,0.2,7.22,9.02
116387,709,2.54,0.39,7.02,8.71
116391,709,2.54,0.12,6.83,8.67
116395,709,2.54,0.04,5.61,9.49
116399,709,2.54,0.12,5.61,9.34
116403,709,2.54,0.47,5.49,9.34
116407,709,2.54,0.78,5.53,9.06
116410,709,2.54,0.75,5.1,9.69
116414,709,2.54,1.22,5.22,9.49
116418,709,2.54,1.18,5.53,8.71
116422,709,2.54,1.45,6.67,7.96
116426,709,2.54,1.41,6.39,8.55
116429,709,2.54,1.49,5.57,10.12
116433,709,2.54,2.04,5.02,11.22
116438,709,2.54,2.16,5.84,10.79
116442,709,2.54,2.43,5.57,9.3
116446,709,2.54,2.31,6,8.16
116449,709,2.54,2.51,5.92,8.87
116453,709,2.54,2.79,5.26,9.38
116457,709,2.54,2.71,4.71,10.24
116461,709,2.54,2.35,5.06,9.81
116465,709,2.54,2.08,6.39,9.26
116468,709,2.54,2.16,6.63,8.75
116472,709,2.54,2.12,6.79,9.41
116476,709,2.54,2.47,5.53,9.96
116481,709,2.54,2.35,5.1,9.81
116484,709,2.54,2.16,5.14,9.26
116488,709,2.54,1.88,5.22,8.12
116492,709,2.54,1.61,5.18,7.73
116496,709,2.54,1.53,6.2,7.73
116500,709,2.54,1.65,5.14,8.47
116503,709,2.54,1.61,4.86,9.18
116507,709,2.54,1.06,5.02,9.96
116511,709,2.54,1.02,5.06,9.73
116515,709,2.54,0.55,5.3,10.55
116518,709,2.54,0.16,5.61,11.49
116523,709,2.54,0.2,6.32,11.41
116527,709,2.54,0.24,6.35,11.57
116531,709,2.54,0.47,6.24,11.34
116535,709,2.54,0.51,6.2,8.98
116539,709,2.54,0.16,6.51,8.59
116542,709,2.54,0.55,5.37,8.51
116546,709,2.54,0.2,4.67,10.16
116550,709,2.54,-0.16,4.28,10.83
116554,709,2.54,-0.71,4.35,11.22
116558,709,2.54,-1.06,4.28,11.02
116561,709,2.54,-0.59,5.84,10.4
116566,709,2.54,-0.35,6.39,9.61
116570,709,2.54,0.51,6.71,9.61
116574,709,2.54,0.51,6.28,9.73
116578,709,2.54,0.71,6.63,8.79
116581,709,2.54,0.55,6.43,8.32
116585,709,2.54,0.71,6.47,7.57
116589,709,2.54,1.18,6.43,7.1
116593,709,2.54,1.14,5.45,8.43
116596,709,2.54,1.14,5.22,9.34
116600,709,2.54,1.02,5.18,9.26
116604,709,2.54,0.86,5.65,10.2
116609,709,2.54,0.75,6.39,9.57
116613,709,2.54,0.59,6.67,8.87
116616,709,2.54,1.02,7.06,9.1
116620,709,2.54,0.9,7.14,8.87
116624,709,2.54,1.33,6.28,9.65
116628,709,2.54,1.02,5.81,9.81
116631,709,2.54,1.1,5.14,9.38
116635,709,2.54,0.9,5.26,8.51
116639,709,2.54,0.9,6.08,7.3
116643,709,2.54,0.98,6.16,6.71
116647,709,2.54,0.75,5.1,7.41
116651,709,2.54,0.71,3.69,9.69
116655,709,2.54,0.78,5.1,11.41
116659,709,2.54,1.18,4.82,12.16
116663,709,2.54,0.12,5.49,12.04
116667,709,2.54,0.55,6.16,10.28
116670,709,2.54,0.35,6.51,9.57
116674,709,2.54,0.59,5.1,11.34
116678,709,2.54,0.75,4.04,12.83
116682,709,2.54,0.55,3.65,12.4
116686,709,2.54,0.86,4.2,11.14
116689,709,2.54,0.24,4.67,9.49
116694,709,2.54,0.12,4.94,10.71
116698,709,2.54,0.71,5.26,10.71
116702,454,3.96,1.45,5.84,10.63
116706,454,3.96,1.14,6.35,10.2
116710,454,3.96,-0.39,5.88,8.79
116713,454,3.96,-0.94,5.33,8.16
116717,454,3.96,-2.12,4.31,8.75
116721,454,3.96,-1.45,4.86,9.45
116725,454,3.96,0.67,4.39,10.16
116728,454,3.96,1.41,4.39,9.61
116732,454,3.96,2.16,3.88,10.04
116737,454,3.96,0.39,3.84,10.4
116741,454,3.96,0.71,3.77,10.4
116745,454,3.96,0.86,3.92,10.16
116749,454,3.96,1.18,5.22,9.96
116752,454,3.96,1.88,6.43,9.53
116756,454,3.96,2.31,6.98,9.53
116760,454,3.96,1.92,5.45,10.83
116764,454,3.96,1.84,4.75,10.71
116768,454,3.96,2.2,4.35,9.81
116771,454,3.96,2.43,4.55,9.26
116775,454,3.96,2.24,4.86,9.1
116780,454,3.96,2.43,4.79,8.98
116784,454,3.96,2,4.86,8.51
116787,454,3.96,2.2,5.33,8.36
116791,454,3.96,1.96,6.08,8.2
116795,454,3.96,1.88,6.67,8.12
116799,454,3.96,1.61,6.35,9.14
116803,454,3.96,1.65,6.55,9.41
116806,454,3.96,1.8,5.81,9.26
116810,454,3.96,1.61,5.37,10.12
116814,454,3.96,1.61,5.92,9.3
116818,454,3.96,1.57,5.57,10.08
116823,454,3.96,1.26,5.45,10.51
116826,454,3.96,1.77,6.43,9.69
116830,454,3.96,2,7.3,9.22
116834,454,3.96,1.69,6.67,8.94
116838,454,3.96,1.73,5.49,9.1
116841,454,3.96,1.18,4.82,8.63
116845,454,3.96,1.06,4.79,8.63
116849,454,3.96,0.12,4.63,9.22
116853,454,3.96,0.59,4.94,9.3
116857,454,3.96,0.63,5.88,9.18
116860,454,3.96,1.06,5.53,9.77
116865,454,3.96,0.27,5.41,10.08
116869,454,3.96,0,6,9.92
116873,454,3.96,-0.63,6.08,10.43
116876,454,3.96,-0.31,5.18,10.4
116880,454,3.96,-0.47,6.16,7.61
116884,454,3.96,1.14,6.79,8.63
116888,454,3.96,2.31,5.77,6.55
116892,454,3.96,-1.57,5.1,8.08
116895,454,3.96,-0.59,4.31,7.45
116899,454,3.96,-0.86,2.75,8.59
116903,454,3.96,0.27,4.24,8.71
116908,454,3.96,0.63,5.33,8.43
116911,454,3.96,0.78,5.14,10.12
116915,454,3.96,0.86,4.2,12.75
116919,454,3.96,0,3.77,14.83
116923,454,3.96,0.59,2.55,13.96
116927,454,3.96,0.39,2.16,12.71
116931,454,3.96,1.06,2.08,10.83
116934,454,3.96,1.06,2.39,8.59
116938,454,3.96,0.75,2.82,10.67
116942,454,3.96,1.02,4.04,8.67
116946,454,3.96,0.63,5.06,9.49
116950,454,3.96,0.47,7.06,9.89
116954,454,3.96,1.45,7.61,10.98
116958,454,3.96,2.47,6.98,11.18
116962,454,3.96,3.45,7.06,9.96
116966,454,3.96,3.26,7.02,9.3
116969,454,3.96,2.79,6.08,10
116973,454,3.96,2.39,5.65,10.04
116977,454,3.96,2.75,5.65,8.79
116981,454,3.96,3.69,6.16,8.43
116985,454,3.96,3.8,6.04,9.57
116988,454,3.96,3.37,5.3,10.4
116993,454,3.96,2.55,5.14,10.12
116997,454,3.96,1.8,6.28,10.2
117001,454,3.96,1.37,6.08,8.98
117005,454,3.96,0.94,7.53,9.1
117008,454,3.96,0.31,6.04,10.59
117012,454,3.96,0.47,5.45,10.08
117016,454,3.96,0.82,4.94,10.12
117020,454,3.96,0.82,4.43,9.69
117024,454,3.96,1.14,5.14,9.22
117027,454,3.96,1.41,4.75,10.2
117031,454,3.96,1.22,4.2,10.4
117036,454,3.96,1.22,3.65,12.16
117040,454,3.96,0.86,4.79,11.06
117044,454,3.96,1.69,6.79,9.92
117047,454,3.96,1.49,6.51,9.41
117051,454,3.96,1.49,5.37,9.34
117055,454,3.96,0.86,4.43,9.3
117059,454,3.96,0.63,3.88,8.98
117063,454,3.96,1.53,4.2,8.43
117066,454,3.96,1.45,5.33,7.73
117070,454,3.96,1.8,5.26,8.67
117074,454,3.96,1.1,4.63,9.49
117079,454,3.96,1.41,4.71,9.34
117082,454,3.96,1.69,4.9,10.79
117086,454,3.96,1.96,5.18,10.9
117090,388,4.64,2.63,5.84,10.47
117094,388,4.64,1.45,6.71,9.49
117098,388,4.64,2.35,6.04,8.71
117102,388,4.64,1.57,5.33,8.98
117105,388,4.64,2.08,5.49,9.06
117109,388,4.64,1.92,5.18,8.94
117113,388,4.64,1.84,5.14,9.89
117117,388,4.64,2.08,5.18,9.45
117121,388,4.64,1.77,5.45,8.87
117125,388,4.64,1.96,4.82,8.32
117129,388,4.64,1.73,4.9,9.22
117133,388,4.64,1.77,5.33,9.77
117137,388,4.64,2.08,5.41,10.28
117140,388,4.64,2.31,4.9,10.47
